"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.733041792E0,1.248768651E0,4.667475575E-1,1.886338667E0
2.743012792E0,1.307997583E0,4.085370639E-1,2.525098445E0
2.752984792E0,1.289236938E0,4.362844411E-1,3.178707227E0
2.762955792E0,1.262464584E0,4.626466128E-1,3.744788454E0
2.772927792E0,1.244990034E0,3.464177066E-1,4.293820953E0
2.782898792E0,1.261269852E0,9.726375461E-2,4.864290515E0
2.792870792E0,1.455924099E0,-1.679706252E-1,5.283796663E0
2.802841792E0,1.647333288E0,-2.008571202E-1,5.609930379E0
2.812813792E0,1.761899977E0,3.192258149E-2,5.919287263E0
2.822784792E0,1.836747554E0,1.668976611E-1,5.933467931E0
2.832755792E0,1.888830750E0,2.122685462E-2,5.414002461E0
2.842727792E0,1.805735968E0,-3.368007910E-1,4.364245988E0
2.852698792E0,1.515819907E0,-6.733445969E-1,2.954233203E0
2.862670792E0,1.297678125E0,-8.508803898E-1,1.400512229E0
2.872641792E0,1.186614868E0,-9.054156160E-1,7.645819187E-2
2.882613792E0,1.156019312E0,-8.614045009E-1,-9.055769992E-1
2.892584792E0,1.165111075E0,-7.539882258E-1,-1.548568992E0
2.902555792E0,1.041398025E0,-6.988267627E-1,-1.877766649E0
2.912527792E0,8.553502938E-1,-7.451486975E-1,-1.968187991E0
2.922498792E0,6.260884964E-1,-8.794957861E-1,-1.937438069E0
2.932470792E0,4.083919068E-1,-9.926025715E-1,-1.867732242E0
2.942441792E0,3.549065481E-1,-8.223436385E-1,-1.756519954E0
2.952413792E0,4.850032226E-1,-4.070191267E-1,-1.658642827E0
2.962384792E0,7.403631900E-1,1.347321278E-1,-1.666078731E0
2.972356792E0,9.959614315E-1,5.331190100E-1,-1.883271217E0
2.982327792E0,1.162754354E0,8.032811308E-1,-2.170805708E0
2.992298792E0,1.117109381E0,8.845346242E-1,-2.418994870E0
3.002270792E0,8.738256680E-1,7.861373869E-1,-2.542338960E0
3.012241792E0,5.837072195E-1,5.183787641E-1,-2.586032279E0
3.022213792E0,3.343272726E-1,7.243881583E-2,-2.548248156E0
3.032184792E0,1.558380912E-1,-4.081844768E-1,-2.390486185E0
3.042156792E0,6.589388117E-2,-7.158503464E-1,-2.086451436E0
3.052127792E0,9.654206201E-2,-9.347391102E-1,-1.873959526E0
3.062099792E0,2.282027936E-1,-1.090651900E0,-1.827440833E0
3.072070792E0,3.969079021E-1,-1.133681852E0,-1.948730212E0
3.082041792E0,5.569778426E-1,-1.112685670E0,-2.196249282E0
3.092013792E0,6.860552743E-1,-1.143333558E0,-2.584350035E0
3.101984792E0,7.518614472E-1,-1.194302568E0,-3.101667822E0
3.111956792E0,7.348812061E-1,-1.314393852E0,-3.634612877E0
3.121927792E0,6.964409526E-1,-1.351009701E0,-4.036970311E0
3.131899792E0,5.653009155E-1,-1.434390704E0,-4.318421359E0
